Month,Mining,Federal government,Real estate rental and leasing,Educational services,Information,"Arts, entertainment, and recreation",Finance and insurance,Wholesale trade,"Transportation, warehousing, and utilities",Other services,Construction,State and local government,Manufacturing,Health care and social assistance,Retail trade,Accommodation and food services
2008-01-01,17000,15000,56000,35000,43000,62000,108000,94000,80000,112000,148000,129000,200000,284000,472000,538000
2008-02-01,17000,13000,47000,34000,46000,54000,95000,98000,86000,81000,159000,135000,189000,278000,422000,549000
2008-03-01,14000,8000,41000,29000,38000,46000,78000,71000,89000,100000,112000,124000,183000,278000,415000,547000
2008-04-01,15000,10000,53000,30000,41000,50000,81000,85000,87000,133000,185000,142000,179000,303000,417000,533000
2008-05-01,14000,7000,32000,38000,39000,52000,83000,89000,80000,110000,135000,124000,167000,237000,398000,542000
2008-06-01,17000,6000,38000,32000,35000,47000,80000,71000,86000,147000,150000,125000,160000,257000,411000,534000
2008-07-01,12000,6000,35000,31000,39000,53000,69000,89000,68000,120000,152000,114000,143000,266000,401000,503000
2008-08-01,13000,9000,35000,34000,39000,41000,72000,75000,65000,117000,149000,136000,137000,247000,411000,466000
2008-09-01,14000,7000,54000,35000,33000,46000,75000,66000,81000,106000,110000,127000,146000,244000,406000,492000
2008-10-01,20000,8000,43000,33000,37000,38000,72000,75000,84000,86000,108000,125000,144000,262000,364000,487000
2008-11-01,14000,5000,25000,24000,20000,31000,72000,64000,53000,62000,89000,107000,125000,230000,364000,422000
2008-12-01,15000,7000,10000,19000,29000,30000,67000,70000,66000,80000,83000,120000,102000,228000,381000,413000
2009-01-01,13000,6000,27000,18000,34000,29000,55000,54000,67000,87000,77000,98000,109000,239000,360000,407000
2009-02-01,10000,3000,16000,37000,29000,34000,57000,44000,52000,123000,91000,100000,98000,227000,285000,388000
2009-03-01,8000,5000,21000,27000,36000,33000,67000,45000,72000,66000,85000,97000,86000,220000,309000,350000
2009-04-01,9000,4000,30000,26000,32000,38000,39000,41000,63000,122000,71000,95000,82000,206000,245000,357000
2009-05-01,10000,11000,36000,23000,43000,38000,27000,43000,57000,81000,77000,89000,85000,217000,277000,332000
2009-06-01,7000,7000,20000,32000,30000,49000,44000,45000,46000,111000,75000,91000,92000,231000,290000,339000
2009-07-01,4000,4000,32000,23000,40000,38000,47000,46000,63000,89000,68000,99000,87000,218000,281000,331000
2009-08-01,8000,10000,27000,22000,27000,34000,51000,38000,60000,80000,58000,94000,77000,220000,292000,341000
2009-09-01,5000,6000,22000,25000,26000,12000,41000,51000,53000,84000,73000,93000,91000,236000,265000,306000
2009-10-01,6000,5000,23000,30000,26000,32000,51000,40000,59000,72000,61000,92000,77000,226000,279000,319000
2009-11-01,6000,8000,24000,34000,32000,38000,43000,72000,59000,71000,94000,96000,70000,227000,276000,349000
2009-12-01,5000,11000,28000,28000,29000,32000,48000,42000,58000,46000,87000,98000,72000,235000,299000,324000
2010-01-01,7000,4000,21000,33000,16000,53000,55000,41000,47000,72000,96000,95000,81000,208000,236000,341000
2010-02-01,7000,10000,26000,31000,26000,31000,41000,39000,51000,37000,77000,112000,104000,207000,307000,332000
2010-03-01,8000,8000,17000,32000,46000,29000,60000,49000,51000,68000,77000,101000,85000,214000,301000,344000
2010-04-01,7000,9000,33000,35000,24000,38000,61000,52000,52000,95000,69000,92000,91000,247000,323000,335000
2010-05-01,6000,12000,30000,27000,22000,34000,54000,49000,53000,102000,57000,78000,87000,214000,316000,343000
2010-06-01,8000,26000,33000,26000,27000,30000,73000,50000,51000,107000,62000,107000,95000,252000,312000,327000
2010-07-01,8000,20000,32000,28000,27000,28000,56000,45000,58000,85000,73000,88000,92000,210000,330000,328000
2010-08-01,9000,15000,38000,22000,26000,37000,51000,48000,57000,91000,87000,97000,105000,215000,294000,340000
2010-09-01,7000,12000,36000,34000,28000,41000,60000,39000,60000,87000,83000,110000,96000,216000,342000,329000
2010-10-01,8000,9000,21000,30000,35000,49000,49000,36000,46000,76000,76000,95000,104000,221000,302000,334000
2010-11-01,9000,8000,18000,43000,37000,41000,51000,44000,59000,65000,59000,103000,96000,222000,328000,300000
2010-12-01,9000,8000,29000,31000,46000,42000,54000,45000,58000,77000,92000,100000,102000,220000,294000,340000
2011-01-01,7000,10000,30000,28000,26000,35000,48000,56000,56000,85000,63000,107000,100000,208000,261000,336000
2011-02-01,13000,7000,14000,34000,33000,37000,52000,59000,67000,68000,59000,105000,95000,212000,301000,325000
2011-03-01,9000,8000,28000,32000,30000,42000,58000,44000,62000,61000,71000,96000,110000,223000,346000,358000
2011-04-01,7000,9000,22000,31000,40000,41000,53000,45000,54000,68000,104000,96000,104000,222000,318000,353000
2011-05-01,10000,8000,28000,32000,35000,38000,51000,61000,63000,84000,87000,114000,107000,225000,372000,354000
2011-06-01,11000,9000,32000,29000,33000,39000,55000,32000,70000,71000,75000,93000,107000,222000,344000,377000
2011-07-01,12000,8000,27000,34000,31000,44000,73000,45000,60000,98000,71000,122000,105000,195000,315000,359000
2011-08-01,13000,10000,46000,40000,38000,46000,45000,52000,60000,107000,69000,114000,99000,233000,328000,396000
2011-09-01,14000,10000,26000,29000,40000,55000,48000,56000,61000,105000,82000,102000,95000,224000,339000,369000
2011-10-01,15000,10000,33000,26000,32000,37000,57000,63000,61000,92000,77000,97000,112000,221000,327000,339000
2011-11-01,12000,10000,23000,24000,33000,41000,53000,57000,63000,75000,118000,110000,115000,226000,293000,328000
2011-12-01,15000,10000,22000,33000,31000,53000,60000,53000,64000,62000,73000,126000,106000,227000,328000,344000
2012-01-01,16000,10000,36000,31000,37000,42000,49000,50000,73000,86000,64000,117000,103000,247000,309000,351000
2012-02-01,16000,13000,24000,30000,33000,49000,59000,50000,66000,62000,77000,117000,107000,269000,356000,361000
2012-03-01,16000,12000,19000,34000,34000,45000,59000,56000,76000,75000,91000,120000,107000,249000,336000,429000
2012-04-01,17000,12000,42000,32000,27000,42000,62000,50000,83000,83000,71000,121000,112000,242000,349000,389000
2012-05-01,15000,12000,32000,28000,35000,51000,58000,56000,70000,104000,81000,125000,114000,254000,334000,413000
2012-06-01,16000,9000,31000,37000,41000,47000,65000,61000,80000,109000,93000,116000,112000,236000,351000,412000
2012-07-01,17000,10000,37000,32000,31000,43000,56000,80000,60000,110000,80000,112000,102000,240000,352000,402000
2012-08-01,16000,10000,42000,39000,44000,44000,62000,65000,83000,146000,73000,119000,111000,239000,348000,383000
2012-09-01,16000,10000,43000,36000,40000,35000,61000,53000,63000,79000,72000,104000,107000,214000,332000,364000
2012-10-01,23000,10000,33000,33000,36000,40000,59000,63000,71000,79000,107000,125000,99000,229000,328000,389000
2012-11-01,15000,11000,28000,33000,34000,39000,69000,47000,82000,74000,97000,122000,107000,254000,326000,384000
2012-12-01,13000,10000,20000,30000,45000,39000,48000,52000,63000,72000,78000,125000,109000,248000,329000,395000
2013-01-01,13000,10000,29000,35000,39000,47000,78000,60000,80000,103000,125000,122000,105000,288000,370000,437000
2013-02-01,13000,11000,40000,36000,29000,55000,61000,65000,79000,99000,117000,120000,108000,266000,369000,439000
2013-03-01,19000,11000,23000,25000,30000,55000,62000,57000,66000,83000,92000,115000,95000,264000,322000,407000
2013-04-01,14000,11000,27000,32000,37000,46000,70000,66000,70000,80000,101000,134000,116000,263000,367000,459000
2013-05-01,13000,11000,36000,34000,37000,47000,78000,52000,75000,103000,99000,120000,114000,258000,330000,424000
2013-06-01,17000,11000,33000,35000,41000,48000,59000,59000,68000,79000,107000,122000,105000,258000,333000,391000
2013-07-01,16000,12000,40000,26000,39000,50000,72000,49000,71000,109000,100000,120000,117000,281000,361000,410000
2013-08-01,12000,13000,49000,36000,54000,43000,76000,58000,69000,124000,95000,113000,105000,272000,433000,394000
2013-09-01,13000,10000,39000,34000,30000,45000,67000,61000,72000,115000,95000,109000,116000,285000,407000,426000
2013-10-01,11000,14000,30000,35000,28000,45000,57000,69000,65000,100000,94000,119000,109000,283000,403000,483000
2013-11-01,13000,10000,23000,32000,29000,56000,60000,67000,76000,90000,80000,117000,115000,255000,411000,442000
2013-12-01,21000,12000,20000,34000,36000,51000,46000,46000,85000,84000,86000,118000,115000,286000,352000,408000
2014-01-01,12000,10000,34000,34000,38000,52000,36000,58000,72000,105000,92000,119000,113000,266000,412000,439000
2014-02-01,18000,10000,24000,43000,42000,42000,55000,66000,75000,81000,92000,123000,112000,261000,414000,494000
2014-03-01,17000,11000,30000,36000,44000,52000,53000,68000,84000,82000,87000,123000,126000,239000,401000,458000
2014-04-01,17000,11000,34000,36000,42000,50000,48000,66000,82000,103000,117000,123000,111000,280000,417000,473000
2014-05-01,18000,11000,34000,37000,42000,47000,53000,96000,72000,120000,119000,124000,118000,276000,452000,453000
2014-06-01,15000,11000,30000,33000,39000,52000,55000,69000,82000,105000,115000,117000,108000,294000,437000,494000
2014-07-01,14000,8000,38000,37000,37000,50000,74000,75000,80000,117000,108000,130000,130000,303000,450000,482000
2014-08-01,15000,4000,48000,35000,36000,52000,73000,70000,84000,135000,122000,145000,119000,260000,407000,506000
2014-09-01,14000,11000,38000,38000,35000,58000,81000,81000,88000,149000,111000,152000,132000,309000,416000,524000
2014-10-01,16000,12000,35000,53000,50000,59000,71000,77000,81000,101000,110000,142000,130000,311000,446000,539000
2014-11-01,15000,12000,41000,35000,43000,54000,73000,98000,75000,90000,88000,123000,111000,311000,455000,536000
2014-12-01,14000,12000,25000,38000,37000,50000,76000,93000,83000,83000,137000,133000,137000,298000,445000,522000
2015-01-01,12000,13000,37000,32000,37000,55000,77000,79000,84000,100000,113000,131000,139000,331000,452000,529000
2015-02-01,12000,11000,24000,36000,45000,49000,67000,71000,83000,112000,123000,141000,129000,340000,411000,506000
2015-03-01,12000,12000,20000,41000,49000,46000,68000,76000,81000,95000,111000,148000,126000,319000,460000,558000
2015-04-01,13000,10000,39000,40000,42000,51000,75000,82000,90000,111000,118000,136000,141000,314000,444000,504000
2015-05-01,19000,15000,41000,48000,41000,53000,64000,86000,99000,113000,115000,135000,123000,323000,448000,510000
2015-06-01,13000,11000,27000,46000,43000,59000,72000,75000,85000,121000,112000,155000,140000,318000,462000,549000
2015-07-01,15000,14000,34000,51000,45000,55000,60000,81000,97000,141000,109000,145000,128000,328000,437000,587000
2015-08-01,15000,12000,29000,43000,41000,63000,61000,75000,99000,152000,104000,148000,145000,351000,461000,589000
2015-09-01,16000,13000,38000,41000,44000,54000,62000,92000,92000,118000,124000,145000,145000,320000,461000,562000
2015-10-01,14000,16000,44000,41000,45000,56000,70000,69000,105000,96000,91000,150000,138000,334000,461000,563000
2015-11-01,18000,12000,21000,56000,41000,51000,62000,70000,81000,93000,125000,142000,153000,364000,480000,571000
2015-12-01,16000,13000,39000,57000,32000,54000,86000,74000,116000,99000,141000,148000,131000,345000,509000,580000
2016-01-01,20000,13000,29000,57000,40000,56000,80000,86000,105000,117000,80000,154000,146000,296000,462000,570000
2016-02-01,13000,13000,37000,44000,39000,70000,105000,91000,82000,88000,95000,144000,159000,339000,447000,592000
2016-03-01,15000,13000,44000,40000,39000,58000,50000,96000,79000,77000,142000,151000,139000,336000,473000,584000
2016-04-01,13000,14000,40000,41000,42000,64000,63000,88000,97000,110000,114000,160000,141000,353000,456000,609000
2016-05-01,12000,12000,43000,51000,40000,68000,69000,65000,87000,97000,118000,155000,140000,352000,459000,627000
2016-06-01,14000,14000,38000,47000,37000,65000,72000,89000,92000,137000,113000,178000,138000,355000,463000,607000
2016-07-01,12000,13000,41000,54000,42000,71000,62000,81000,84000,130000,132000,144000,147000,348000,472000,605000
2016-08-01,13000,13000,39000,51000,34000,72000,66000,99000,83000,141000,148000,161000,151000,336000,493000,615000
2016-09-01,14000,14000,30000,43000,54000,80000,61000,72000,125000,107000,119000,164000,152000,359000,482000,605000
2016-10-01,12000,13000,28000,42000,41000,75000,64000,73000,115000,112000,127000,156000,167000,356000,491000,602000
2016-11-01,12000,16000,18000,44000,36000,83000,65000,84000,103000,84000,161000,147000,164000,344000,457000,610000
2016-12-01,12000,15000,19000,37000,45000,84000,56000,83000,98000,95000,141000,146000,159000,367000,420000,602000
2017-01-01,12000,16000,40000,44000,40000,63000,86000,98000,90000,123000,149000,164000,170000,386000,473000,592000
2017-02-01,16000,18000,30000,43000,47000,73000,56000,71000,113000,98000,165000,155000,180000,337000,482000,567000
2017-03-01,13000,16000,33000,44000,39000,83000,70000,74000,103000,97000,166000,158000,186000,377000,501000,594000
2017-04-01,10000,16000,43000,53000,38000,86000,75000,74000,91000,123000,157000,142000,181000,359000,434000,589000
2017-05-01,14000,14000,51000,43000,34000,58000,79000,74000,108000,117000,149000,166000,202000,380000,502000,630000
2017-06-01,14000,16000,45000,51000,42000,66000,68000,82000,102000,141000,133000,148000,194000,375000,472000,593000
2017-07-01,18000,14000,39000,45000,52000,64000,78000,91000,115000,166000,149000,150000,203000,351000,471000,603000
2017-08-01,11000,15000,47000,42000,49000,61000,70000,95000,98000,160000,143000,140000,187000,348000,463000,592000
