Month,Mining,Federal government,Real estate rental and leasing,Educational services,Information,"Arts, entertainment, and recreation",Finance and insurance,Wholesale trade,"Transportation, warehousing, and utilities",Other services,Construction,State and local government,Manufacturing,Health care and social assistance,Retail trade,Accommodation and food services
2017-09-01,15000,16000,34000,45000,51000,52000,80000,86000,101000,137000,153000,160000,191000,361000,447000,613000
2017-10-01,19000,16000,44000,50000,44000,63000,79000,98000,104000,109000,164000,150000,195000,403000,464000,583000
2017-11-01,15000,18000,22000,50000,46000,64000,93000,84000,113000,71000,148000,166000,196000,377000,432000,588000
2017-12-01,17000,13000,30000,52000,50000,64000,83000,101000,106000,87000,152000,163000,217000,370000,475000,611000
2018-01-01,19000,13000,43000,45000,50000,79000,76000,88000,102000,111000,156000,155000,214000,355000,452000,593000
2018-02-01,21000,14000,35000,48000,49000,67000,83000,86000,116000,76000,150000,149000,215000,358000,424000,627000
2018-03-01,21000,15000,39000,46000,43000,92000,62000,84000,122000,145000,149000,156000,211000,387000,461000,639000
2018-04-01,22000,16000,52000,52000,48000,70000,45000,84000,119000,125000,154000,168000,204000,381000,486000,653000
2018-05-01,23000,15000,44000,50000,56000,71000,66000,86000,138000,129000,162000,178000,197000,417000,512000,643000
2018-06-01,21000,14000,52000,34000,51000,77000,78000,79000,122000,95000,164000,178000,206000,407000,550000,629000
2018-07-01,21000,14000,64000,45000,49000,76000,77000,78000,117000,163000,178000,172000,217000,404000,535000,689000
2018-08-01,21000,13000,66000,35000,49000,84000,89000,108000,122000,177000,165000,155000,212000,434000,529000,693000
2018-09-01,21000,16000,50000,47000,47000,85000,75000,85000,106000,159000,164000,158000,198000,384000,569000,695000
2018-10-01,19000,16000,47000,58000,50000,78000,63000,81000,125000,127000,166000,164000,205000,439000,528000,691000
2018-11-01,20000,18000,35000,54000,55000,63000,64000,95000,134000,124000,188000,178000,231000,451000,514000,653000
2018-12-01,21000,21000,31000,46000,40000,71000,82000,90000,130000,82000,204000,157000,196000,500000,493000,642000
